,path,label,pca_Features
0,s3://p8marionflore/Test/Watermelon/r_69_100.jpg,Watermelon,"[-3.5901672899940795,4.678376112267263]"
1,s3://p8marionflore/Test/Watermelon/r_59_100.jpg,Watermelon,"[-3.3657648974391106,4.665506664455501]"
2,s3://p8marionflore/Test/Watermelon/r_49_100.jpg,Watermelon,"[-2.2036158559555132,4.026767921843161]"
3,s3://p8marionflore/Test/Watermelon/254_100.jpg,Watermelon,"[-2.172826164630316,2.670116519537997]"
4,s3://p8marionflore/Test/Raspberry/79_100.jpg,Raspberry,"[0.3832414341574019,5.688164889264332]"
5,s3://p8marionflore/Test/Raspberry/77_100.jpg,Raspberry,"[0.367958650692692,6.826989332800041]"
6,s3://p8marionflore/Test/Raspberry/241_100.jpg,Raspberry,"[-0.8027679950233264,4.916623931530189]"
7,s3://p8marionflore/Test/Cauliflower/r_249_100.jpg,Cauliflower,"[-5.768039562707516,4.398763121074653]"
8,s3://p8marionflore/Test/Cauliflower/r_252_100.jpg,Cauliflower,"[-5.143215359585751,4.126784769481692]"
9,s3://p8marionflore/Test/Raspberry/221_100.jpg,Raspberry,"[-1.952241550123443,3.719098677755674]"
10,s3://p8marionflore/Test/Pineapple/9_100.jpg,Pineapple,"[-5.763798454368308,5.5216536987633855]"
11,s3://p8marionflore/Test/Pineapple/268_100.jpg,Pineapple,"[-6.5302420503407115,5.897092665324854]"
12,s3://p8marionflore/Test/Cauliflower/36_100.jpg,Cauliflower,"[-5.343060344345053,3.608464445079892]"
13,s3://p8marionflore/Test/Cauliflower/180_100.jpg,Cauliflower,"[-4.715545743665916,1.6958509118524794]"
14,s3://p8marionflore/Test/Pineapple Mini/r_21_100.jpg,Pineapple Mini,"[-6.682332646978275,6.290043418174287]"
15,s3://p8marionflore/Test/Onion White/r_179_100.jpg,Onion White,"[-2.763645229639636,6.79128950040635]"
16,s3://p8marionflore/Test/Apple Golden 1/110_100.jpg,Apple Golden 1,"[-2.9036992976561162,-2.2474091244822456]"
17,s3://p8marionflore/Test/Onion White/r_170_100.jpg,Onion White,"[-1.4389364655599843,3.8578712921046066]"
18,s3://p8marionflore/Test/Onion White/r2_16_100.jpg,Onion White,"[0.7686642900980903,2.199299353104723]"
19,s3://p8marionflore/Test/Pear Red/r2_91_100.jpg,Pear Red,"[4.500393552443194,-0.5780010866676868]"
20,s3://p8marionflore/Test/Raspberry/r_295_100.jpg,Raspberry,"[0.22187443320245856,3.9333081614630867]"
21,s3://p8marionflore/Test/Lychee/11_100.jpg,Lychee,"[-3.881248785620376,5.000747062711035]"
